wav-03|and so what that would be able to do is actually the steam engines|and so what that would be able to do is actually the steam engines
wav-04|would actually be able to see how to build a lot of the mines and all that|would actually be able to see how to build a lot of the mines and all that
wav-07|how could steam be used to to get energy to do a lot more then we|how could steam be used to to get energy to do a lot more then we
wav-13|uh the big uh scientific study around how work can be done a lot better|uh the big uh scientific study around how work can be done a lot better
wav-20|uh frederick taylor time and so it was about efficiency and a lot of the conveyor belts were being built uhthat's when the the ford and all|uh frederick taylor time and so it was about efficiency and a lot of the conveyor belts were being built uhthat's when the the ford and all
wav-22|and so it was about efficiency and a lot of the conveyor belts were being built uhthat's when the the ford and all|and so it was about efficiency and a lot of the conveyor belts were being built uhthat's when the the ford and all
wav-23|all those type of industries came and scientific management was the big thing|all those type of industries came and scientific management was the big thing
wav-26|it was how efficient can you be then you came to about 1960|it was how efficient can you be then you came to about 1960
wav-29|where we were now looking at the computer and it was the age of i would say electronic engineering and the chipset but now you've come today and it's the age of software|where we were now looking at the computer and it was the age of i would say electronic engineering and the chipset but now you've come today and it's the age of software
wav-31|and it was the age of i would say electronic engineering and the chipset|and it was the age of i would say electronic engineering and the chipset
wav-33|and what's becoming apparent now and you'll hear people say software is eating the world|and what's becoming apparent now and you'll hear people say software is eating the world
wav-36|is software engineering is is in every single place you'll see even uh|is software engineering is is in every single place you'll see even uh
wav-40|places like in kenya the judiciary lands are digitizing the people behind the solutions that they're using|places like in kenya the judiciary lands are digitizing the people behind the solutions that they're using
wav-44|are actually are software engineers according to IDC which does a lot of research|are actually are software engineers according to IDC which does a lot of research
wav-49|especially on the technology industry they estimate that|especially on the technology industry they estimate that
wav-52|the digital transformation spend uh by 2023 will be 6.3|the digital transformation spend uh by 2023 will be 6.3
wav-55|uh trillion dollars. You look at uh fortune is forecasting that by 2030|uh trillion dollars. You look at uh fortune is forecasting that by 2030
wav-59|85 million jobs uh will be vacant uh because of lack of proper digital skills|85 million jobs uh will be vacant uh because of lack of proper digital skills
wav-63|and the revenue loss due to that is about 8.4 trillion dollars will not be|and the revenue loss due to that is about 8.4 trillion dollars will not be
wav-66|can't be fulfilled by then yes so so software is in everything you do if you have a phone i see you have two smartphones like |can't be fulfilled by then yes so so software is in everything you do if you have a phone i see you have two smartphones like
wav-68|yes so so software is in everything you do if you have a phone i see you have two smartphones like|yes so so software is in everything you do if you have a phone i see you have two smartphones like
wav-69|definitely every single thing application that you're clicking on oh you have three sorry every single application that you're clicking on has been built by a software engineer now there was a time and when i|definitely every single thing application that you're clicking on oh you have three sorry every single application that you're clicking on has been built by a software engineer now there was a time and when i
wav-72|oh you have three sorry every single application that you're clicking on has been built by a software engineer now there was a time and when i|oh you have three sorry every single application that you're clicking on has been built by a software engineer now there was a time and when i
wav-74|i'm not too old but when i entered the industry it was about you needed to know how to build computers and build networks i've|i'm not too old but when i entered the industry it was about you needed to know how to build computers and build networks i've
wav-75|i've pulled cables i've patched cables.I remember when i entered the industry in the early 2000s i was connecting people|i've pulled cables i've patched cables.I remember when i entered the industry in the early 2000s i was connecting people
wav-80|uh on dial-up and when you'd hear this sound like a cat being strangled|uh on dial-up and when you'd hear this sound like a cat being strangled
wav-83|the connection had happened and i could never connect why was the sound so screechy|the connection had happened and i could never connect why was the sound so screechy
wav-86|and loud told the customer so we've moved actually from the time of hardware and that was around the third industrial revolution people have built their whole circuits moore's law every 18 months|and loud told the customer so we've moved actually from the time of hardware and that was around the third industrial revolution people have built their whole circuits moore's law every 18 months
wav-88|so we've moved actually from the time of hardware and that was around the third industrial revolution people have built their whole circuits moore's law every 18 months|so we've moved actually from the time of hardware and that was around the third industrial revolution people have built their whole circuits moore's law every 18 months
